YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1949,5.6,6.3,6.7,13.6,20.1,23.1,25.2,23.7,20.7,16.6,12.9,8.7,4.8,13.5,24.0,16.7,14.76
1950,3.1,8.2,10.8,16.5,20.1,24.3,27.9,26.3,23.8,17.5,11.5,10.9,6.7,15.8,26.2,17.6,16.56
1951,7.6,9.4,11.5,15.3,21.1,24.6,26.1,26.7,22.6,14.0,12.7,7.0,9.3,16.0,25.8,16.4,16.88
1952,7.2,6.8,9.4,16.5,18.6,24.0,26.2,28.1,25.0,16.9,12.2,10.3,7.0,14.8,26.1,18.0,16.49
1953,5.9,8.2,8.3,15.3,18.5,24.5,27.3,25.9,22.3,16.1,9.2,4.9,8.1,14.0,25.9,15.9,15.98
1954,2.7,3.1,10.4,12.8,18.9,26.1,27.3,26.8,23.6,16.8,11.6,8.3,3.6,14.0,26.7,17.3,15.42
1955,9.0,11.0,10.2,11.9,19.8,23.5,26.6,25.0,21.4,17.4,10.8,8.6,9.4,14.0,25.0,16.5,16.24
1956,6.3,3.8,6.1,14.6,19.5,23.2,26.5,27.6,22.2,16.5,10.9,6.4,6.2,13.4,25.8,16.5,15.48
1957,4.8,9.8,9.7,14.5,18.1,24.4,26.5,26.8,22.1,17.4,12.3,6.2,7.0,14.1,25.9,17.3,16.07
1958,6.2,9.3,9.1,13.8,22.1,24.3,26.7,26.6,20.4,16.2,12.5,8.6,7.2,15.0,25.9,16.4,16.12
1959,4.6,5.6,10.6,14.1,19.0,22.4,26.5,26.0,20.0,14.0,11.2,10.3,6.3,14.6,25.0,15.1,15.22
1960,7.0,7.7,9.2,13.8,18.9,23.3,25.3,26.3,20.3,18.4,14.4,11.4,8.3,14.0,25.0,17.7,16.24
1961,5.6,6.9,12.0,16.5,19.4,23.9,25.6,26.2,22.4,17.8,13.8,7.0,8.0,16.0,25.2,18.0,16.79
1962,7.0,5.5,9.9,14.8,21.5,23.0,25.8,27.5,22.7,17.4,14.3,5.4,6.5,15.4,25.4,18.1,16.37
1963,3.5,7.1,8.4,13.9,18.7,23.7,27.2,26.8,23.2,16.9,13.6,7.9,5.3,13.7,25.9,17.9,15.70
1964,3.4,6.2,9.9,14.3,17.9,23.9,25.1,24.8,20.3,17.5,12.7,8.8,5.8,14.0,24.6,16.8,15.33
1965,6.7,3.1,9.8,13.3,18.0,24.1,25.9,24.3,22.4,16.7,12.0,8.5,6.2,13.7,24.8,17.0,15.43
1966,4.8,11.2,10.2,15.7,18.9,22.7,26.4,26.6,22.2,20.4,13.2,7.8,8.2,14.9,25.2,18.6,16.73
1967,4.6,5.7,10.3,13.7,19.4,22.5,25.6,26.8,22.9,18.2,12.8,7.7,6.0,14.5,25.0,18.0,15.86
1968,4.0,8.7,9.5,15.6,21.8,23.3,26.5,24.3,22.2,16.3,13.1,7.2,6.8,15.6,24.7,17.2,16.08
1969,4.3,8.5,8.9,13.3,21.4,23.7,24.6,25.4,23.1,16.8,13.3,8.8,6.7,14.5,24.6,17.7,15.88
1970,7.7,8.5,10.3,16.1,17.5,23.5,25.3,25.8,21.9,16.1,11.9,7.7,8.3,14.6,24.9,16.6,16.12
1971,8.3,6.5,8.6,13.3,20.6,24.1,25.1,25.8,20.4,14.4,10.3,7.1,7.5,14.2,25.0,15.0,15.43
1972,6.4,7.2,9.7,15.4,20.1,25.2,26.6,26.0,20.2,12.6,10.3,5.1,6.9,15.1,25.9,14.4,15.57
1973,4.2,7.4,7.7,13.4,20.6,23.7,27.1,25.2,22.3,16.1,7.9,5.2,5.6,13.9,25.3,15.4,15.06
1974,5.5,8.0,9.5,12.1,18.3,23.8,26.7,26.3,21.8,17.5,10.4,5.5,6.2,13.3,25.6,16.6,15.43
1975,4.4,4.9,11.0,14.5,20.2,23.9,26.9,24.6,23.5,16.0,10.3,5.8,4.9,15.2,25.1,16.6,15.48
1976,5.0,5.9,8.4,14.2,19.1,23.3,25.7,22.9,20.4,17.1,11.7,6.3,5.6,13.9,24.0,16.4,14.96
1977,5.6,9.9,10.6,14.6,20.8,25.0,27.5,26.5,20.9,14.4,12.8,4.8,7.3,15.3,26.3,16.0,16.24
1978,4.6,8.2,11.3,13.5,18.7,25.0,26.8,25.0,19.6,14.8,7.0,8.7,5.9,14.5,25.6,13.8,14.94
1979,4.7,7.5,11.5,12.8,19.8,26.2,26.3,25.4,21.3,15.1,11.9,7.7,7.0,14.7,26.0,16.1,15.93
1980,3.4,6.2,9.5,12.7,17.1,23.7,26.6,25.7,21.4,17.6,12.8,7.9,5.8,13.1,25.3,17.3,15.37
1981,3.5,6.3,11.7,14.5,18.5,25.8,26.0,25.2,22.4,18.7,8.9,8.3,5.9,14.9,25.7,16.7,15.78
1982,5.2,4.9,9.0,12.4,18.9,24.6,25.9,25.6,23.4,17.1,9.8,8.1,6.1,13.4,25.4,16.8,15.43
1983,6.4,5.5,10.5,16.1,21.5,22.5,26.5,24.9,21.4,15.6,9.5,7.1,6.7,16.0,24.6,15.5,15.71
1984,6.5,7.4,8.9,12.7,19.9,23.8,25.5,24.3,22.9,18.7,12.1,7.0,7.0,13.8,24.5,17.9,15.82
1985,6.1,4.1,9.0,16.0,21.9,24.8,26.7,27.0,22.2,15.0,12.0,9.0,5.7,15.6,26.2,16.4,15.98
1986,7.0,7.2,9.8,16.0,19.5,24.6,26.0,27.0,22.3,15.7,9.6,4.4,7.7,15.1,25.9,15.9,16.14
1987,5.5,8.2,5.9,13.3,17.9,24.6,27.8,25.6,23.8,15.4,11.1,8.1,6.0,12.4,26.0,16.8,15.29
1988,7.6,7.6,9.6,13.4,19.6,25.0,29.4,27.0,22.6,15.7,7.2,5.4,7.8,14.2,27.1,15.2,16.07
1989,4.8,7.8,11.5,16.5,18.5,23.1,26.1,26.5,22.1,15.4,10.7,5.5,6.0,15.5,25.2,16.1,15.70
1990,4.7,8.6,12.6,15.8,19.8,24.7,27.3,25.7,21.6,16.7,13.1,7.7,6.3,16.1,25.9,17.1,16.34
1991,4.4,5.2,10.4,13.6,17.3,24.8,26.2,25.7,21.7,17.0,12.2,3.7,5.8,13.8,25.6,17.0,15.52
1992,5.7,6.4,10.1,14.5,18.5,24.1,25.4,28.0,21.8,18.3,12.3,6.0,5.3,14.4,25.8,17.5,15.73
1993,5.0,4.6,8.8,14.8,19.9,25.5,26.6,27.0,22.3,19.0,9.9,8.9,5.2,14.5,26.4,17.1,15.78
1994,8.2,7.3,11.2,15.3,20.4,24.9,27.6,27.7,25.4,17.9,11.5,7.5,8.1,15.6,26.7,18.3,17.19
1995,5.7,9.5,10.3,14.6,20.0,26.3,27.5,25.8,21.8,16.0,8.5,9.0,7.6,15.0,26.5,15.4,16.12
1996,5.7,6.2,6.9,12.9,21.6,25.2,26.7,26.7,20.8,15.3,12.4,8.3,7.0,13.8,26.2,16.2,15.78
1997,7.1,7.3,9.3,10.9,21.7,25.5,27.9,25.4,21.0,14.3,11.6,7.1,7.6,14.0,26.3,15.6,15.86
1998,6.6,8.8,8.1,15.8,19.6,26.4,28.6,28.5,22.1,17.5,11.6,5.3,7.5,14.5,27.8,17.1,16.73
1999,5.9,6.0,11.0,15.9,20.6,25.9,28.4,28.1,23.1,18.7,11.7,8.4,5.7,15.8,27.5,17.8,16.72
2000,3.0,7.5,9.4,16.7,21.8,26.0,28.5,28.0,22.5,17.2,14.7,9.0,6.3,16.0,27.5,18.1,16.98
2001,8.2,8.9,14.1,14.9,20.1,25.1,28.8,28.3,23.6,18.9,11.0,2.3,8.7,16.4,27.4,17.8,17.58
2002,5.4,10.3,11.5,14.0,20.3,26.1,28.1,26.6,21.1,16.9,12.5,7.5,6.0,15.3,26.9,16.8,16.26
2003,8.3,3.8,8.7,12.8,22.0,27.3,27.8,28.3,21.9,17.4,12.8,6.8,6.5,14.5,27.8,17.4,16.55
2004,4.2,7.5,10.3,14.4,18.6,24.9,27.6,26.3,22.4,18.6,11.2,8.6,6.2,14.4,26.3,17.4,16.07
2005,6.2,5.7,10.0,14.6,20.3,24.4,27.3,26.8,22.9,16.5,10.1,7.7,6.8,15.0,26.2,16.5,16.12
2006,3.9,5.7,10.2,15.0,20.5,24.8,26.9,28.1,22.6,17.3,10.3,6.7,5.8,15.2,26.6,16.7,16.08
2007,8.1,8.4,11.3,15.1,21.5,26.6,29.3,27.5,21.6,16.7,10.6,5.5,7.7,16.0,27.8,16.3,16.95
2008,5.6,7.8,12.3,15.2,20.3,26.0,27.0,28.4,21.4,17.2,12.2,8.5,6.3,15.9,27.1,16.9,16.58
2009,6.3,6.7,10.0,14.5,21.2,24.6,27.8,26.5,21.9,17.6,12.2,9.5,7.2,15.2,26.3,17.2,16.48
2010,6.5,8.0,10.4,15.5,20.8,24.5,27.5,29.1,22.8,14.9,14.8,7.8,8.0,15.6,27.0,17.5,17.03
2011,6.0,7.1,9.3,13.9,19.0,24.6,28.4,26.9,24.4,14.9,8.1,6.7,7.0,14.1,26.6,15.8,15.87
2012,3.3,4.7,11.0,16.0,20.8,26.2,30.6,28.7,23.5,19.7,13.8,6.3,4.9,15.9,28.5,19.0,17.08
2013,7.3,9.0,11.4,16.5,23.2,25.6,27.7,28.7,23.2,17.0,13.6,6.4,7.5,17.0,27.3,17.9,17.46
2014,8.4,9.7,12.3,15.1,20.7,25.1,27.6,27.9,21.6,16.7,12.6,8.4,8.2,16.0,26.9,17.0,17.01
2015,6.9,7.2,9.4,14.7,21.5,24.2,29.0,28.0,24.0,17.0,999.9,999.9,7.5,15.2,27.1,999.9,999.90
